id_company,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,id_ratio,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,composite_quality_score,year_num,id,company_id_market,year_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct
ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,22.0,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83.0,1213.0,12.1738707400457,21.191023990902647,92.06,2024.0,6,ABB,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96
ADANIENSOL,"https://m.economictimes.com/thumb/msid-117371599,width-1200,height-900,resizemode-4,imgsize-5642/the-growth-story-remains-intact-for-adani-energy-solutions-says-jefferies.jpg",Adani Energy Solutions Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIENSOL,"AESL, part of the Adani portfolio, is a multidimensional organization with presence in various facets of the energy domain, namely power transmission, distribution, smart metering, and cooling solutions. AESL is India's largest private transmission company",https://www.adanienergysolutions.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENSOL,https://www.bseindia.com/stock-share-price/adani-energy-solutions-ltd/ADANIENSOL/539254/,10.0,175.0,9.0,8.59,34.0,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070.0,6038.0,,,,2024.0,12,ADANIENSOL,2024,348517.36,439276.19,58.5,9.05,14.83,1.65
ADANIENT,https://mkt.in/static/mkt-icons/nifty100/ADANIENT.png,Adani Enterprises Ltd,https://in.tradingview.com/chart/?symbol=ADANIENT,"Adani Enterprises Ltd is an Indian multinational public company and a subsidiary of Adani Group. It is headquartered in Ahmedabad and has business interests in coal mining and trading, airport operations, edible oils, road, rail and water infrastructure, data centers, hydrocarbon exploration, defence and aerospace, multimodal logistics, and agro commodities.",https://www.adanienterprises.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENT,https://www.bseindia.com/stock-share-price/adani-enterprises-ltd/adanient/512,1.0,363.0,11.6,13.64,46.0,ADANIENT,Mar 2024,3.46,12.0,8.53,1.6714,2.7493,0.6004,-8455.0,18767.0,28.0,34.2772,5.0,65310.0,10312.0,6.880599865544146,9.58927403560983,35.1,2024.0,18,ADANIENT,2024,187927.97,191237.75,58.87,10.41,33.01,0.83
ADANIGREEN,https://mkt.in/static/mkt-icons/nifty100/ADANIGREEN.png,Adani Green Energy Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIGREEN,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities.",http://www.adanigreenenergy.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIGREEN,https://www.bseindia.com/stock-share-price/adani-green-energy-ltd/ADANIGREEN/541450/,10.0,67.0,96.5,14.7,54.0,ADANIGREEN,Mar 2024,13.67,79.0,12.81,6.5953,1.7139,0.1047,-13347.0,21060.0,7.0,0.6208,0.0,64858.0,7713.0,51.55676088829046,,,2024.0,24,ADANIGREEN,2024,510512.78,491878.9,45.26,6.24,21.78,0.89
ADANIPORTS,https://mkt.in/static/mkt-icons/nifty100/ADANIPORTS.png,"Adani Ports & Special Economic Zone Ltd
",https://in.tradingview.com/chart/?symbol=NSE%3AADANIPORTS,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",http://www.adaniports.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPORTS,https://www.bseindia.com/stock-share-price/adani-ports-special-economic-zone-ltd/ADANIPORTS/532921/,2.0,265.0,12.9,18.1,66.0,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470.0,15018.0,20.05470934648075,15.638343462810699,81.3,2024.0,30,ADANIPORTS,2024,675598.01,611165.74,48.9,2.31,31.76,1.16
ADANIPOWER,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",Adani Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIPOWER,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,32.2,57.1,90.0,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616.0,14170.0,20.137190057024966,,,2024.0,36,ADANIPOWER,2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65
AMBUJACEM,https://mkt.in/static/mkt-icons/nifty100/AMBUJACEM.png,Ambuja Cements Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants",https://www.ambujacement.com/,https://www.nseindia.com/get-quotes/equity?symbol=AMBUJACEM,https://www.bseindia.com/stock-share-price/ambuja-cements-ltd/AMBUJACEM/500425/,2.0,205.0,12.8,9.24,101.0,AMBUJACEM,Mar 2024,14.29,19.0,11.43,0.0169,28.2645,0.5081,-3295.0,8941.0,16.0,9.4218,12.0,699.0,5646.0,11.771794310198104,12.538975810744013,64.95,2024.0,42,AMBUJACEM,2024,1281411.04,1198290.68,55.62,9.21,27.67,3.1
APOLLOHOSP,https://mkt.in/static/mkt-icons/nifty100/APOLLOHOSP.png,"Apollo Hospitals
Chain of Indian private hospitals",https://in.tradingview.com/chart/?symbol=NSE%3AAPOLLOHOSP,"Apollo Hospitals Enterprise Limited is an Indian multinational healthcare group headquartered in Chennai. It is the largest for-profit private hospital network in India, with a network of 71 owned and managed hospitals.",https://www.apollohospitals.com/,https://www.nseindia.com/get-quotes/equity?symbol=APOLLOHOSP,https://www.bseindia.com/stock-share-price/apollo-hospitals-enterprise-ltd/apollohosp/508869/,5.0,522.0,17.2,13.81,113.0,APOLLOHOSP,Mar 2024,4.91,13.0,13.48,0.7689,5.5657,1.1384,383.0,1537.0,63.0,9.6333,26.0,5333.0,1920.0,15.874678708463708,10.786818124561126,56.21,2024.0,48,APOLLOHOSP,2024,1905622.43,2433382.94,47.72,7.68,16.74,3.22
ASIANPAINT,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://in.tradingview.com/chart/?symbol=NSE%3AASIANPAINT,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,41.75,31.45,136.0,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474.0,6104.0,11.705320941335007,15.308162187698926,82.01,2024.0,54,ASIANPAINT,2024,2126725.18,2475080.63,73.37,3.9,23.94,2.42
ATGL,https://mkt.in/static/mkt-icons/nifty100/ATGL.png,Adani Total Gas Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AATGL,"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users.",http://www.adanigas.com/,https://www.nseindia.com/get-quotes/equity?symbol=ATGL,https://www.bseindia.com/stock-share-price/adani-total-gas-ltd/ATGL/542066/,1.0,36.0,21.2,20.5,,,,,,,,,,,,,,,,,,,,,60,ATGL,2024,1535602.41,1925338.89,56.96,5.76,28.93,0.51
AXISBANK,https://mkt.in/static/mkt-icons/nifty100/AXISBANK.png,Axis Bank Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AAXISBANK,"Incorporated in December 1993, Axis Bank Limited is a private sector bank.It has the third-largest network of branches among private sector banks and an international presence through branches in DIFC (Dubai) and Singapore along with representative offices in Abu Dhabi, Sharjah, Dhaka and Dubai and an offshore banking unit in GIFT City.",http://www.axisbank.com/,https://www.nseindia.com/get-quotes/equity?symbol=AXISBANK,https://www.bseindia.com/stock-share-price/axis-bank-ltd/AXISBANK/532215/,2.0,509.0,7.06,18.4,173.0,AXISBANK,Mar 2024,22.73,11952.0,15.83,8.2491,1.6912,0.072,-14556.0,9001.0,81.0,25.4494,1.0,1295302.0,-5555.0,13.491503789065007,15.327766208974714,64.65,2024.0,66,AXISBANK,2024,948868.63,929130.29,38.14,4.66,16.87,2.32
