company_id,type,rule_id,text,confidence_pct
ABB,Pro,P01,High return on equity demonstrates excellent capital efficiency.,90
ABB,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
ABB,Pro,P06,Profit growth above 20% creates long-term shareholder value.,87
ABB,Pro,P07,High interest coverage reflects low financial stress.,92
ADANIENSOL,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
ADANIENSOL,Pro,P05,High operating margins indicate strong pricing power.,86
ADANIENSOL,Con,C01,High debt-to-equity ratio increases financial risk.,90
ADANIENSOL,Con,C08,Low return on equity indicates weak capital efficiency.,82
ADANIENSOL,Con,C09,Large debt burden may affect future financial flexibility.,78
ADANIENT,Con,C02,Negative free cash flow indicates cash generation concerns.,88
ADANIENT,Con,C08,Low return on equity indicates weak capital efficiency.,82
ADANIENT,Con,C09,Large debt burden may affect future financial flexibility.,78
ADANIGREEN,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
ADANIGREEN,Pro,P05,High operating margins indicate strong pricing power.,86
ADANIGREEN,Con,C01,High debt-to-equity ratio increases financial risk.,90
ADANIGREEN,Con,C02,Negative free cash flow indicates cash generation concerns.,88
ADANIGREEN,Con,C09,Large debt burden may affect future financial flexibility.,78
ADANIPORTS,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
ADANIPORTS,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
ADANIPORTS,Pro,P05,High operating margins indicate strong pricing power.,86
ADANIPORTS,Con,C09,Large debt burden may affect future financial flexibility.,78
ADANIPOWER,Pro,P01,High return on equity demonstrates excellent capital efficiency.,90
ADANIPOWER,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
ADANIPOWER,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
ADANIPOWER,Pro,P05,High operating margins indicate strong pricing power.,86
ADANIPOWER,Con,C09,Large debt burden may affect future financial flexibility.,78
AMBUJACEM,Pro,P07,High interest coverage reflects low financial stress.,92
AMBUJACEM,Con,C02,Negative free cash flow indicates cash generation concerns.,88
APOLLOHOSP,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
APOLLOHOSP,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
ASIANPAINT,Pro,P01,High return on equity demonstrates excellent capital efficiency.,90
ASIANPAINT,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
ASIANPAINT,Pro,P07,High interest coverage reflects low financial stress.,92
BAJAJ-AUTO,Pro,P01,High return on equity demonstrates excellent capital efficiency.,90
BAJAJ-AUTO,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
BAJAJ-AUTO,Pro,P07,High interest coverage reflects low financial stress.,92
AXISBANK,Pro,P05,High operating margins indicate strong pricing power.,86
AXISBANK,Con,C01,High debt-to-equity ratio increases financial risk.,90
AXISBANK,Con,C02,Negative free cash flow indicates cash generation concerns.,88
AXISBANK,Con,C09,Large debt burden may affect future financial flexibility.,78
BAJAJFINSV,Pro,P01,High return on equity demonstrates excellent capital efficiency.,90
BAJAJFINSV,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
BAJAJFINSV,Pro,P05,High operating margins indicate strong pricing power.,86
BAJAJFINSV,Con,C01,High debt-to-equity ratio increases financial risk.,90
BAJAJFINSV,Con,C02,Negative free cash flow indicates cash generation concerns.,88
BAJAJFINSV,Con,C09,Large debt burden may affect future financial flexibility.,78
BAJAJHLDNG,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
BAJAJHLDNG,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
BAJAJHLDNG,Pro,P05,High operating margins indicate strong pricing power.,86
BAJAJHLDNG,Pro,P07,High interest coverage reflects low financial stress.,92
BAJFINANCE,Pro,P04,Revenue growing above 15% CAGR reflects strong business momentum.,85
BAJFINANCE,Pro,P05,High operating margins indicate strong pricing power.,86
BAJFINANCE,Pro,P06,Profit growth above 20% creates long-term shareholder value.,87
BAJFINANCE,Pro,P07,High interest coverage reflects low financial stress.,92
BAJFINANCE,Con,C01,High debt-to-equity ratio increases financial risk.,90
BAJFINANCE,Con,C02,Negative free cash flow indicates cash generation concerns.,88
BAJFINANCE,Con,C09,Large debt burden may affect future financial flexibility.,78
BANKBARODA,Pro,P05,High operating margins indicate strong pricing power.,86
BANKBARODA,Con,C01,High debt-to-equity ratio increases financial risk.,90
BANKBARODA,Con,C02,Negative free cash flow indicates cash generation concerns.,88
BANKBARODA,Con,C09,Large debt burden may affect future financial flexibility.,78
BHARTIARTL,Pro,P02,Positive free cash flow supports healthy business fundamentals.,88
BHARTIARTL,Pro,P05,High operating margins indicate strong pricing power.,86
BHARTIARTL,Con,C01,High debt-to-equity ratio increases financial risk.,90
BHARTIARTL,Con,C09,Large debt burden may affect future financial flexibility.,78
BEL,Pro,P01,High return on equity demonstrates excellent capital efficiency.,90
BEL,Pro,P07,High interest coverage reflects low financial stress.,92
BEL,Con,C02,Negative free cash flow indicates cash generation concerns.,88
BHEL,Con,C02,Negative free cash flow indicates cash generation concerns.,88
BHEL,Con,C03,Low operating margin suggests margin pressure.,80
BHEL,Con,C07,Revenue CAGR below 5% indicates weak long-term growth.,85
BHEL,Con,C08,Low return on equity indicates weak capital efficiency.,82
